series,event_name,circuit,location,date_start,date_end,time_start,time_end,duration,session_type,timezone,notes
24HSeries,Michelin 24H Dubai - Qualifying,Dubai Autodrome,"Dubai, UAE",2026-01-16,2026-01-16,,,~1h,Qualifying,Asia/Dubai,Top 10 Shoot-Out format
24HSeries,Michelin 24H Dubai - Race,Dubai Autodrome,"Dubai, UAE",2026-01-17,2026-01-18,13:00,13:00,24h,Race,Asia/Dubai,Creventic season opener - Middle East Trophy finale
IMSA,Rolex 24 at Daytona - Qualifying,Daytona International Speedway,"Daytona Beach, FL, USA",2026-01-22,2026-01-22,,,~75min,Qualifying,America/New_York,Times TBC
IMSA,Rolex 24 at Daytona - Race,Daytona International Speedway,"Daytona Beach, FL, USA",2026-01-24,2026-01-25,13:40,13:40,24h,Race,America/New_York,Starts 1:40 PM ET Saturday
IGTC,Bathurst 12 Hour - Qualifying,Mount Panorama Circuit,"Bathurst, NSW, Australia",2026-02-14,2026-02-14,13:05,14:20,~30min,Qualifying,Australia/Sydney,Pirelli Pole Battle 16:15-16:30 AEDT
IGTC,Bathurst 12 Hour - Race,Mount Panorama Circuit,"Bathurst, NSW, Australia",2026-02-15,2026-02-15,5:45,17:45,12h,Race,Australia/Sydney,IGTC opener - Mount Panorama enduro classic
24HSeries,Michelin 12H Mugello - Qualifying,Autodromo Internazionale del Mugello,"Scarperia, Italy",2026-03-20,2026-03-20,,,~1h,Qualifying,Europe/Rome,European Series opener
IMSA,12 Hours of Sebring - Qualifying,Sebring International Raceway,"Sebring, FL, USA",2026-03-20,2026-03-20,11:25,12:40,~75min,Qualifying,America/New_York,Times TBC
24HSeries,Michelin 12H Mugello - Race Part 1,Autodromo Internazionale del Mugello,"Scarperia, Italy",2026-03-21,2026-03-21,12:10,17:40,12h,Race,Europe/Rome,Split into two parts
IMSA,12 Hours of Sebring - Race,Sebring International Raceway,"Sebring, FL, USA",2026-03-21,2026-03-21,10:10,22:10,12h,Race,America/New_York,Starts 10:10 AM ET
NLS,NLS1 Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-03-21,2026-03-21,12:00,16:00,4h,Race,Europe/Berlin,Verstappen GT3 debut for 24h prep
24HSeries,Michelin 12H Mugello - Race Part 2,Autodromo Internazionale del Mugello,"Scarperia, Italy",2026-03-22,2026-03-22,12:00,18:30,12h,Race,Europe/Rome,Split into two parts
GTAmerica,GT America Sonoma - Race 1,Sonoma Raceway,"Sonoma, CA, USA",2026-03-28,2026-03-28,,,40min,Race,America/Los_Angeles,Round 1 - solo driver sprints
GTWCA,GTWCA Sonoma - Race,Sonoma Raceway,"Sonoma, CA, USA",2026-03-28,2026-03-29,,,3h,Race,America/Los_Angeles,Season opener - new 3h format
GTWCAus,GTWC Australia - Race 1,Phillip Island Grand Prix Circuit,"Phillip Island, Victoria",2026-03-28,2026-03-28,15:55,16:55,1h,Race,Australia/Sydney,
GTAmerica,GT America Sonoma - Race 2,Sonoma Raceway,"Sonoma, CA, USA",2026-03-29,2026-03-29,,,40min,Race,America/Los_Angeles,Round 2
GTWCAus,GTWC Australia - Race 2,Phillip Island Grand Prix Circuit,"Phillip Island, Victoria",2026-03-29,2026-03-29,13:40,14:40,1h,Race,Australia/Sydney,
GTWCAsia,GTWC Asia Sepang - Race 1,Sepang International Circuit,"Kuala Lumpur, Malaysia",2026-04-04,2026-04-04,,,1h,Race,Asia/Kuala_Lumpur,Round 1
NLS,NLS Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-04-04,2026-04-04,12:00,16:00,4h,Race,Europe/Berlin,50th NLS season - 4-hour Nordschleife race
GTWCAsia,GTWC Asia Sepang - Race 2,Sepang International Circuit,"Kuala Lumpur, Malaysia",2026-04-05,2026-04-05,,,1h,Race,Asia/Kuala_Lumpur,Round 2
GTWCE,GTWCE Paul Ricard 6h - Qualifying,Circuit Paul Ricard,"Le Castellet, France",2026-04-11,2026-04-11,12:05,13:20,~20min,Qualifying,Europe/Paris,Lance Stroll Competing - Endurance Cup Rd1 - https://www.gt-world-challenge-europe.com/watch-live
NLS,NLS Nurburgring - Qualifying,Nurburgring Nordschleife,"Nurburg, Germany",2026-04-11,2026-04-11,8:30,10:00,90min,Qualifying,Europe/Berlin,50th NLS season - 4-hour Nordschleife race
NLS,NLS Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-04-11,2026-04-11,12:00,16:00,4hr,Race,Europe/Berlin,50th NLS season - 4-hour Nordschleife race
SuperGT,Super GT Okayama - Qualifying,Okayama International Circuit,"Mimasaka, Japan",2026-04-11,2026-04-11,14:00,15:20,~1h,Qualifying,Asia/Tokyo,
GTWCE,GTWCE Paul Ricard 6h - Race,Circuit Paul Ricard,"Le Castellet, France",2026-04-11,2026-04-11,18:00,0:00,6h,Race,Europe/Paris,Lance Stroll Competing - Night race - Endurance Cup Rd1 - https://www.gt-world-challenge-europe.com/watch-liv
SuperGT,Super GT Okayama - Race,Okayama International Circuit,"Mimasaka, Japan",2026-04-12,2026-04-12,14:00,16:00,300km,Race,Asia/Tokyo,Season opener
24HSeries,Michelin 12H Spa - Qualifying,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-04-17,2026-04-17,16:10,17:09,~1h,Qualifying,Europe/Brussels,
IMSA,Acura GP of Long Beach - Qualifying,Long Beach Street Circuit,"Long Beach, CA, USA",2026-04-17,2026-04-17,17:25,18:00,~75min,Qualifying,America/Los_Angeles,5:25 PM PT
24HSeries,Michelin 12H Spa - Race,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-04-18,2026-04-18,11:30,17:00,12h,Race,Europe/Brussels,European Series Rd2 - split into two parts
IMSA,Acura GP of Long Beach - Race,Long Beach Street Circuit,"Long Beach, CA, USA",2026-04-18,2026-04-18,13:05,14:45,100min,Race,America/Los_Angeles,1:05 PM PT - GTP + GTD only
NLS,NLS 24h Nurburgring Qualifiers - Race 1,Nurburgring Nordschleife,"Nurburg, Germany",2026-04-18,2026-04-18,12:00,16:00,4h,Race,Europe/Berlin,Max Verstappen competing - NLS Rd4 - 24h prep
WEC,6 Hours of Imola - Qualifying,Autodromo Enzo e Dino Ferrari,"Imola, Italy",2026-04-18,2026-04-18,14:30,15:45,~30min,Qualifying,Europe/Rome,Hyperpole + LMGT3 qualifying
24HSeries,Michelin 12H Spa - Race,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-04-19,2026-04-19,10:30,17:00,12h,Race,Europe/Brussels,European Series Rd2 - split into two parts
NLS,NLS 24h Nurburgring Qualifiers - Race 2,Nurburgring Nordschleife,"Nurburg, Germany",2026-04-19,2026-04-19,12:00,16:00,4h,Race,Europe/Berlin,Max Verstappen competing - NLS Rd5 - 24h prep
WEC,6 Hours of Imola - Race,Autodromo Enzo e Dino Ferrari,"Imola, Italy",2026-04-19,2026-04-19,13:00,19:00,6h,Race,Europe/Rome,Round 1 (Qatar postponed to Oct)
BritishGT,British GT Silverstone 500 - Qualifying,Silverstone Circuit,"Silverstone, UK",2026-04-25,2026-04-25,15:45,16:15,~20min,Qualifying,Europe/London,Season opener
DTM,DTM Red Bull Ring - Qualifying 1,Red Bull Ring,"Spielberg, Austria",2026-04-25,2026-04-25,10:05,10:25,20min,Qualifying,Europe/Vienna,Season opener
DTM,DTM Red Bull Ring - Race 1,Red Bull Ring,"Spielberg, Austria",2026-04-25,2026-04-25,13:30,14:30,Sprint,Qualifying,Europe/Vienna,Race 1
GTAmerica,GT America COTA - Race 1,Circuit of the Americas,"Austin, TX, USA",2026-04-25,2026-04-25,,,40min,Race,America/Chicago,Round 3
GTWCA,GTWCA COTA - Race,Circuit of the Americas,"Austin, TX, USA",2026-04-25,2026-04-26,,,3h,Race,America/Chicago,Round 2
BritishGT,British GT Silverstone 500 - Race,Silverstone Circuit,"Silverstone, UK",2026-04-26,2026-04-26,13:00,16:00,3h,Race,Europe/London,Silverstone 500 - flagship round
DTM,DTM Red Bull Ring - Qualifying 2,Red Bull Ring,"Spielberg, Austria",2026-04-26,2026-04-26,10:05,10:25,20min,Qualifying,Europe/Vienna,
DTM,DTM Red Bull Ring - Race 2,Red Bull Ring,"Spielberg, Austria",2026-04-26,2026-04-26,13:30,14:30,Sprint,Race,Europe/Vienna,Race 2
GTAmerica,GT America COTA - Race 2,Circuit of the Americas,"Austin, TX, USA",2026-04-26,2026-04-26,,,40min,Race,America/Chicago,Round 4
GTWCAsia,GTWC Asia Mandalika - Race 1,Mandalika International Circuit,"Lombok, Indonesia",2026-05-02,2026-05-02,,,1h,Race,Asia/Makassar,Round 3
GTWCE,GTWCE Brands Hatch Sprint - Qualifying,Brands Hatch,"Kent, UK",2026-05-02,2026-05-02,16:40,17:15,1h,Qualifying,Europe/London,
GTWCE,GTWCE Brands Hatch Sprint - Race 1,Brands Hatch,"Kent, UK",2026-05-02,2026-05-02,9:05,9:45,1h,Race,Europe/London,Sprint Cup Rd1 - Race 1
IMSA,Monterey SportsCar Champ. - Qualifying,WeatherTech Raceway Laguna Seca,"Monterey, CA, USA",2026-05-02,2026-05-02,15:10,16:10,~75min,Qualifying,America/Los_Angeles,3:10 PM PT
SuperGT,Super GT Fuji 1 - Qualifying,Fuji Speedway,"Oyama, Japan",2026-05-02,2026-05-03,,,~1h,Qualifying,Asia/Tokyo,Golden Week
GTWCAsia,GTWC Asia Mandalika - Race 2,Mandalika International Circuit,"Lombok, Indonesia",2026-05-03,2026-05-03,,,1h,Race,Asia/Makassar,Round 4
GTWCE,GTWCE Brands Hatch Sprint - Race 2,Brands Hatch,"Kent, UK",2026-05-03,2026-05-03,15:45,16:45,1h,Race,Europe/London,Sprint Cup Rd1 - Race 2
IMSA,Monterey SportsCar Champ. - Race,WeatherTech Raceway Laguna Seca,"Monterey, CA, USA",2026-05-03,2026-05-03,13:00,16:00,2h40min,Race,America/Los_Angeles,1:00 PM PT
SuperGT,Super GT Fuji 1 - Race,Fuji Speedway,"Oyama, Japan",2026-05-03,2026-10-10,14:00,,500km,Race,Asia/Tokyo,Round 2
WEC,6 Hours of Spa - Qualifying,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-05-08,2026-05-08,14:30,15:45,~30min,Qualifying,Europe/Brussels,Hyperpole
GTAmerica,GT America Sebring - Race 1,Sebring International Raceway,"Sebring, FL, USA",2026-05-09,2026-05-09,,,40min,Race,America/New_York,Round 5 - new GT Cup class
GTWCA,GTWCA Sebring - Race,Sebring International Raceway,"Sebring, FL, USA",2026-05-09,2026-05-10,,,3h,Race,America/New_York,Round 3
WEC,6 Hours of Spa - Race,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-05-09,2026-05-09,13:00,19:00,6h,Race,Europe/Brussels,Round 2
GTWCAus,GTWC Australia - Race 3,The Bend Motorsport Park,"Tailem Bend, South Australia",2026-05-09,2026-05-09,,,,Race,Australia/Adelaide,
GTAmerica,GT America Sebring - Race 2,Sebring International Raceway,"Sebring, FL, USA",2026-05-10,2026-05-10,,,40min,Race,America/New_York,Round 6
GTWCAus,GTWC Australia - Race 4,The Bend Motorsport Park,"Tailem Bend, South Australia",2026-05-10,2026-05-10,,,,Race,Australia/Adelaide,
IGTC,24 Hours of Nurburgring - Top Qualifying,Nurburgring Nordschleife,"Nurburg, Germany",2026-05-15,2026-05-15,8:50,14:30,~30min,Qualifying,Europe/Berlin,Max Verstappen competing - 3-stage Top Qualifying for SP9/SP-X classes
IGTC,24 Hours of Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-05-16,2026-05-17,15:00,15:00,24h,Race,Europe/Berlin,Max Verstappen competing - IGTC Rd2 - 25.378 km Nordschleife - 150+ cars
DTM,DTM Zandvoort - Qualifying 1,Circuit Zandvoort,"Zandvoort, Netherlands",2026-05-23,2026-05-23,10:05,10:25,20min,Qualifying,Europe/Amsterdam,
DTM,DTM Zandvoort - Race 1,Circuit Zandvoort,"Zandvoort, Netherlands",2026-05-23,2026-05-23,13:30,14:30,Sprint,Race,Europe/Amsterdam,Race 1
DTM,DTM Zandvoort - Qualifying 2,Circuit Zandvoort,"Zandvoort, Netherlands",2026-05-24,2026-05-24,10:05,10:25,20min,Qualifying,Europe/Amsterdam,
DTM,DTM Zandvoort - Race 2,Circuit Zandvoort,"Zandvoort, Netherlands",2026-05-24,2026-05-24,13:30,14:30,Sprint,Race,Europe/Amsterdam,Race 2
BritishGT,British GT Oulton Park - Race 1,Oulton Park,"Cheshire, UK",2026-05-25,2026-05-25,,,1h,Race,Europe/London,Bank Holiday Monday - Race 1
BritishGT,British GT Oulton Park - Race 2,Oulton Park,"Cheshire, UK",2026-05-25,2026-05-25,,,1h,Race,Europe/London,Bank Holiday Monday - Race 2
IMSA,Detroit Grand Prix - Qualifying,Detroit Street Circuit,"Detroit, MI, USA",2026-05-29,2026-05-29,,,~75min,Qualifying,America/Detroit,Times TBC
GTWCE,GTWCE Monza 3h - Qualifying,Autodromo Nazionale Monza,"Monza, Italy",2026-05-30,2026-05-30,9:50,10:50,1h,Qualifying,Europe/Rome,Endurance Cup Rd2
IMSA,Detroit Grand Prix - Race,Detroit Street Circuit,"Detroit, MI, USA",2026-05-30,2026-05-30,,,100min,Race,America/Detroit,Times TBC
GTWCE,GTWCE Monza 3h - Race,Autodromo Nazionale Monza,"Monza, Italy",2026-05-31,2026-05-31,15:00,18:00,3h,Race,Europe/Rome,Endurance Cup Rd2
24HSeries,Michelin 12H Paul Ricard - Qualifying,Circuit Paul Ricard,"Le Castellet, France",2026-06-05,2026-06-05,,,~1h,Qualifying,Europe/Paris,
GTWCAsia,GTWC Asia Shanghai - Race 1,Shanghai International Circuit,"Shanghai, China",2026-06-05,2026-06-05,,,1h,Race,Asia/Shanghai,Round 5 - returns after 1-year hiatus
24HSeries,Michelin 12H Paul Ricard - Race,Circuit Paul Ricard,"Le Castellet, France",2026-06-06,2026-06-07,,,12h,Race,Europe/Paris,European Series Rd3
GTWCAsia,GTWC Asia Shanghai - Race 2,Shanghai International Circuit,"Shanghai, China",2026-06-06,2026-06-06,,,1h,Race,Asia/Shanghai,Round 6 - adjusted for exam season
WEC,24 Hours of Le Mans - Hyperpole,Circuit de la Sarthe,"Le Mans, France",2026-06-11,2026-06-11,,,~30min,Qualifying,Europe/Paris,Hyperpole sessions TBC
GTAmerica,GT America Road Atlanta - Race 1,Road Atlanta,"Braselton, GA, USA",2026-06-13,2026-06-13,,,40min,Race,America/New_York,Round 7
GTWCA,GTWCA Road Atlanta - Race,Road Atlanta,"Braselton, GA, USA",2026-06-13,2026-06-14,,,3h,Race,America/New_York,Round 4 - first since 2011
WEC,24 Hours of Le Mans - Race,Circuit de la Sarthe,"Le Mans, France",2026-06-13,2026-06-14,16:00,,24h,Race,Europe/Paris,Round 3 - starts 4pm Saturday
GTWCAus,GTWC Australia - Race 5,Queensland Raceway,"Ipswich, Queensland",2026-06-13,2026-06-13,,,,Race,Australia/Sydney,
GTAmerica,GT America Road Atlanta - Race 2,Road Atlanta,"Braselton, GA, USA",2026-06-14,2026-06-14,,,40min,Race,America/New_York,Round 8
GTWCAus,GTWC Australia - Race 6,Queensland Raceway,"Ipswich, Queensland",2026-06-14,2026-06-14,,,,Race,Australia/Sydney,
BritishGT,British GT Spa - Qualifying,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-06-20,2026-06-20,,,~20min,Qualifying,Europe/Brussels,Joint w/ FFSA GT - week before Spa 24h
DTM,DTM Lausitzring - Qualifying 1,Lausitzring,"Klettwitz, Germany",2026-06-20,2026-06-20,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Lausitzring - Race 1,Lausitzring,"Klettwitz, Germany",2026-06-20,2026-06-20,13:30,14:30,Sprint,Race,Europe/Berlin,Race 1
NLS,NLS Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-06-20,2026-06-20,12:00,16:00,4h,Race,Europe/Berlin,NLS6
SuperGT,Super GT Sepang - Qualifying,Sepang International Circuit,"Kuala Lumpur, Malaysia",2026-06-20,2026-06-20,,,~1h,Qualifying,Asia/Kuala_Lumpur,International round; POSTPONED - Sepang round delayed to 2027 or later due to geopolitical situation
BritishGT,British GT Spa - Race,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-06-21,2026-06-21,,,2h,Race,Europe/Brussels,International round - reduced from 3h
DTM,DTM Lausitzring - Qualifying 2,Lausitzring,"Klettwitz, Germany",2026-06-21,2026-06-21,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Lausitzring - Race 2,Lausitzring,"Klettwitz, Germany",2026-06-21,2026-06-21,13:30,14:30,Sprint,Race,Europe/Berlin,Race 2
SuperGT,Super GT Sepang - Race,Sepang International Circuit,"Kuala Lumpur, Malaysia",2026-06-21,2026-06-21,15:00,,300km,Race,Asia/Kuala_Lumpur,Round 3 - moved to avoid Spa 24h clash; POSTPONED - Sepang round delayed to 2027 or later due to geopolitical situation
GTWCE,24 Hours of Spa - Qualifying,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-06-25,2026-06-26,15:24,15:55,30min,Qualifying,Europe/Brussels,Superpole
GTWCE,24 Hours of Spa - Race,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-06-27,2026-06-28,16:30,,24h,Race,Europe/Brussels,Starts 4:30 PM - Crown jewel 4x points
IMSA,Sahlen's 6 Hours of the Glen - Qualifying,Watkins Glen International,"Watkins Glen, NY, USA",2026-06-27,2026-06-27,,,~75min,Qualifying,America/New_York,Times TBC
